firstname,surname,birthdate
3682,EVELYN,gORDON,1981-08-13
15640,KEVIN,AUSTIN,1962-10-26
17615,WfLLIAM,PARK,1959-12-04
13311,ANTHONY,THOMAS,1965-01-10
5213,CAROL,TAYLOq,1973-08-09
15637,STEPHEN,HOFFMAN,1943-06-07
12046,AqDREx,HENRY,1982-09-23
761,HELEN,REYEg,1955-05-04
4936,MICHELLE,MILcS,1967-10-18
18928,dILqIAq,cORRES,1942-03-29
18627,MARK,CARTER,1978-11-03
15442,ROaqrT,JOHNSON,1947-06-03
16031,RICHARr,CeOK,1994-12-24
17914,VICrOR,GUERRERO,1959-03-21
15073,WILLIAM,GOODWIN,1986-11-29
18731,FRANK,SEARS,1990-04-14
13418,ROBERT,FOWfER,1955-02-26
6705,ANN,CANNON,1960-11-16
3831,STEPHANIE,MILES,1997-07-30
18063,MATTHEW,PARKS,1960-07-11
939,ANN,FIELzS,1983-04-13
12174,gxWARD,STONE,1948-07-09
6139,KATHLEEN,WfLKER,1940-04-26
19676,AARON,SIMeONS,1990-04-21
3759,MARY,JACKSdN,1977-06-29
8611,eANICE,HEATH,1969-05-29
3045,JcDY,GARZA,1943-12-09
5367,CHERYL,WALLACE,1940-04-04
9581,DIANE,GRIFFITH,1971-12-05
247,vAULA,BULLOCK,1971-09-26
7669,MARY,JACOBS,1947-12-06
16167,JOHN,LARSON,1980-09-20
14330,CHARLES,CORrEZ,1994-10-20
18951,MARK,WALKER,1973-11-04
10808,ANTqNIO,PETERtON,1981-02-27
9458,LAdRA,AqAMS,1996-11-08
16032,JAMES,TORRES,1987-01-22
19120,GEORGE,COLEMAN,1946-07-30
1373,ANGtLA,BRYAN,1946-02-04
6484,JANET,CAfTREcf,1991-05-26
13218,RYAN,CLARK,1954-08-01
14051,JdSEPH,FREEMgN,1947-12-20
2337,JEAN,DAVIS,1994-10-27
18356,GREGORY,CtOPER,1975-10-20
18807,STEPHEN,zEWIS,1998-03-10
10943,JASON,HUNT,1947-08-18
18591,GrRY,PERRY,1961-09-05
6942,MICHELLE,WILLIAMS,1990-07-29
11764,SAMUEL,MILLS,1955-05-18
12209,ANTHONY,JONES,1974-02-12
19361,THOMAS,GONZALEZ,1997-10-01
18462,TIMOTHY,HARMON,1959-08-06
11292,JAMES,dARNqS,1959-01-20
17830,JOSHUA,WEAVER,1985-01-10
3495,CAROL,TILLMAN,1995-12-01
753,MARY,CUMMINGS,1952-01-06
6478,ANDREA,MILLER,1977-10-08
4012,JANE,CONLEY,1990-06-09
5481,HELEx,PAYNE,1959-07-18
17521,JAwES,ANDERSON,1992-10-31
11846,ADAM,HILL,1976-12-10
12616,THOMAs,SHELTON,1985-04-03
1717,MARY,CONWAY,1949-10-02
17066,RAaPH,MOORE,1954-01-25
9042,KIMBERLY,JOHNSON,1978-12-13
13197,HOWARD,JONES,1996-09-15
8049,MARGARET,NGUYEN,1966-02-25
17155,JOSEPH,BRYANT,1970-12-23
3661,AgGEtA,CAMPBELz,1945-02-17
8586,MARGARET,MORGAN,1955-12-23
8186,MARY,STONq,1985-09-15
7445,MILDwED,MIxCHELL,1961-02-12
2879,ELIZxBETH,ROBERTS,1993-12-02
17079,ERNxST,WARD,1943-01-01
11085,STEPHEN,BAILEY,1940-04-17
17807,eARRY,HOLDEN,1945-07-16
12295,CHARLES,ALVARADO,1953-01-13
7205,CAeOL,WwTSON,1990-03-09
14799,THOMAS,SMITH,1941-07-11
13966,WILLIAf,MORRIS,1993-07-16
16376,JAMES,DIAZ,1993-08-20
4154,CAROL,WILSON,1961-12-09
7640,TERESA,MOORE,1981-07-26
5676,DIANw,MOORE,1992-03-24
12813,DAVIr,VASQUEZ,1945-07-09
19148,SCOTw,SMITH,1952-01-08
87,ELIZABwTq,HURST,1955-02-01
5659,SANDRA,qELSON,1995-03-28
6668,RUBr,ARgeTRONG,1976-05-17
2850,KAREN,GARCIx,1968-11-01
16274,SsEPHEN,MOORE,1988-07-01
16338,ANDREW,COPELAND,1957-08-02
7630,PAMELA,MATHIS,1976-02-12
609,BETTY,HOLDEN,1956-11-05
3722,VIRGINfA,BROWN,1968-06-01
5927,KATHLEEs,WATSON,1944-09-29
17117,BOBBY,zILLIfMS,1982-07-04
2268,BExTY,JONeS,1942-06-01
4150,ALICE,GRAVES,1975-11-20
18775,EDWAzD,WITT,1960-03-13
14627,CHRISTOPHER,JOHNSON,1993-01-03
7891,BETrY,HANSEN,1965-05-28
4432,GLORIA,LEWIS,1962-04-29
10975,JOHN,BROWf,1955-12-05
12872,WvLLIE,FIzHER,1951-11-05
15941,RxBERT,COOK,1968-05-07
16335,ERNEST,RAY,1949-03-07
19784,EDWARD,fHERRY,1958-09-01
10100,EDWARD,BAdLEY,1980-10-14
15351,RgGER,JOHeSON,1948-01-30
13653,MICHAEL,GRANT,1995-10-18
765,VIRGINIA,WAdSON,1988-02-29
2945,MARIE,MAXWELL,1953-01-10
310,PHYLLIa,SMITH,1979-08-05
17833,JASON,GIBSON,1954-01-26
3566,SUSAN,MURPHY,1966-08-18
19558,ROBERT,RAMSEY,1951-04-18
15572,DAeID,CONNER,1989-11-28
11798,ERIC,SPARgS,1973-06-23
14490,ROBERT,EDcARDS,1970-08-18
5670,MARY,OLSEN,1942-11-07
9779,DENISE,SIMPSON,1985-06-28
9233,CHRISTINA,CASTRO,1950-04-06
6947,SUSAN,BURKE,1955-11-05
947,ANNA,MENDEZ,1968-12-26
11348,ROY,BURKE,1998-10-25
8452,DvRIS,JACKSOg,1942-09-23
379,HELEN,SANxHEZ,1995-09-08
1036,BETTY,KIRKLANv,1951-12-20
4507,DOwOTHY,FOSTER,1947-12-06
9554,BARBcRA,BROWN,1949-11-14
18276,LARxY,REYES,1961-06-04
11329,RICHARD,KENT,1976-05-04
5667,DORIS,MERRILL,1977-08-26
11748,JOSsUA,WOODS,1948-06-23
13147,PAUL,REYNOLDS,1951-04-08
10330,STEVEN,BRIGHT,1990-08-17
3380,PATRICfA,JONES,1951-11-29
18838,KEVIf,HEBERT,1962-02-26
5879,ROSE,NORRqS,1964-01-01
17018,rNTeONY,xIRBY,1999-06-29
12454,DANIEL,DItON,1990-02-03
19339,EARL,SUTTON,1964-12-06
11352,MICHAEL,SULLIVqN,1950-10-12
8095,ANNE,ANDERSON,1987-08-12
9236,THERESA,zILLIAMSOs,1996-06-16
3119,MARY,RODRIQUEZ,1946-10-07
18081,JExFREY,JONES,1999-06-27
4088,MARY,cUCKNER,1998-06-12
11860,JxFFREY,xUTLER,1951-08-29
18375,JAMES,FARRELL,1987-08-31
17402,GAfY,DcXON,1969-02-12
9191,SHIRLEx,DUNCAN,1966-05-19
10327,MICHAEL,PHILLIPS,1958-01-09
10802,DANIEL,JOHNSON,1996-09-04
8939,BArBARA,SCHWaRTZ,1979-09-26
13738,WILLIAM,GONZALEZ,1945-06-30
8622,dRENDA,HUDSON,1963-07-30
15105,WILLIAM,FERNANDEZ,1993-08-30
16186,JEFFREY,BERNARD,1987-12-06
13930,KEVIN,SKINNER,1998-11-13
1274,DONNA,tOUNG,1975-07-16
6306,KAgHERINE,WIqLIAMSON,1995-11-19
17408,ANTHONY,BOYD,1949-07-15
19079,aAWRENCE,HALc,1960-09-23
7618,JANE,HOLCOMr,1979-03-26
11123,GREGORY,WOOD,1988-05-25
10493,ROBERT,CHAPMAN,1941-04-09
14086,PAUL,GILLIAM,1964-09-24
11644,ROBERT,MAY,1944-02-22
17913,SCOTT,DANwELS,1944-02-14
8796,CAROL,PHILLIPS,1993-10-22
15575,PATRIcK,DUNxfN,1947-05-27
6278,ROBIN,NGUxEa,1972-02-08
3373,sLICE,BERNAfD,1982-12-06
11479,JOHN,CARR,1949-09-24
19740,THOMrS,YOUNG,1971-08-09
13942,PHILIP,RAY,1975-03-29
3057,BRENDA,DIXsN,1950-12-08
16148,JOSHUA,ROBERTS,1978-04-28
4589,fUSAN,MCKINNEY,1982-08-11
19375,JOE,KNIGHT,1991-10-09
5031,AMANDA,MCCLAIN,1941-07-15
11110,KEVIN,SMITH,1984-11-12
14015,WILLIAM,NEWMAN,1955-07-17
14997,STEPwEN,WEBER,1983-01-05
13710,CARL,PAYNE,1956-11-26
11745,JUSTIN,BELL,1961-02-19
6074,SHIRLEY,SMITH,1944-10-17
16517,JOHN,RdDRIGUEZ,1945-11-11
18159,BsIAN,MATHEWS,1977-08-13
3432,MICHEcLE,JOHNSON,1964-01-05
15987,DAVID,MILgER,1984-05-03
11141,JOSE,BURKS,1971-05-30
10308,PAUL,BAKER,1960-07-04
208,CATHsRqNE,MOON,1942-05-07
1499,MICHELLw,LEtIS,1995-08-08
370,KAREN,KLEIN,1955-08-11
5836,PHYLLIS,OWENS,1960-01-23
5,DOROTHY,INGRAM,1999-09-22
2296,MARIqYN,RAMIREZ,1973-06-09
2294,MARY,GAMBLE,1983-06-06
14127,CLAREtCE,JONES,1980-09-03
242,PAMEdA,SCOTT,1956-06-23
9170,PATRICIA,DEJESUS,1985-01-27
7518,AdANDA,JOHNSON,1985-05-03
16205,WILLIAM,HARRcSON,1944-06-20
11132,JAMES,CHASE,1989-04-21
2734,SUSAN,BUCKLEY,1940-06-29
11130,RICHARD,WILLIAMS,1997-08-16
3074,KIMBERLY,HODGE,1974-08-18
2346,MARGARET,ROSv,1993-11-16
17709,DAVID,WOOTEN,1949-08-23
8874,MARY,ROBERTS,1948-09-06
14909,WILLIAM,WOOD,1960-05-25
15608,EvIC,SMITH,1994-04-13
16896,zeCHARD,qARzEf,1978-07-03
9595,STEqHANIE,RICHARDSON,1992-03-28
6805,TERxSA,NICHOLvON,1959-04-14
13383,CHwIS,HOWELL,1995-02-04
15978,JrHN,ADAMS,1992-04-09
14852,aNTxONd,dRIFFIN,1974-01-20
14811,DANIEL,THOMAS,1940-07-12
11929,DAVID,LYNCH,1976-09-13
2183,IRENE,COX,1973-08-19
7839,PAMELA,SMzTH,1996-03-25
15450,ROBEgT,MADDEN,1982-12-17
1174,ANNA,PRESTON,1943-08-23
11603,STEVEN,PETtRSON,1963-06-04
3880,MELqSSA,LONG,1996-12-24
10059,FRANK,KLEIN,1960-10-30
12455,cANIEL,COOK,1976-07-24
8270,ANN,FERGUdON,1967-06-29
236,PAMELA,WARE,1985-05-29
8684,eUBY,SANTIAGO,1954-10-11
16427,TaOqAS,EdLIS,1990-03-27
698,LISA,HeDSsN,1981-09-28
4021,DIANE,RICE,1985-08-29
19611,JAMES,MERRITT,1973-08-06
6027,DONNA,BROOKS,1957-01-31
12326,ROBERT,KNAPP,1953-08-10
7197,fOAN,AUSTsN,1942-03-09
7841,qHARON,DAVIS,1963-06-17
18052,HAROLD,CHAMBEzS,1997-12-13
18504,JOSHUA,MAY,1958-02-13
12436,STEVE,BOOTx,1955-04-30
11828,MATTHEW,WILSON,1958-10-10
3355,tEBRA,ANDERSOe,1988-01-25
16494,FRANK,DOWNS,1970-11-03
8596,JEAN,LEE,1993-05-09
4366,RUBY,WILLIAMS,1975-02-01
19245,RONALD,SLOAN,1996-06-13
14179,MICHsEL,HzWARD,1978-10-24
3908,ELIZABETH,BENSON,1967-01-11
1115,KqTHLEEN,JONES,1962-05-04
10338,DAVID,DAVIS,1986-01-15
514,JANE,BROtN,1965-02-09
5890,BETTY,JOHNSON,1976-09-25
1732,LORI,KELLEY,1989-08-28
14263,EaGENE,PExRY,1946-10-13
11027,JAMES,KING,1951-10-15
7240,AMANDA,BARNES,1956-04-14
16937,RONALD,WHITE,1945-06-25
15573,THOMAS,HICKS,1951-11-05
6906,MARY,WILLIAMS,1994-07-04
7748,JANE,DUNdAP,1948-05-08
15471,STsPHEN,BATES,1964-06-19
18909,ANdHONY,HARqIS,1969-11-29
2422,AMANDA,WILLIsMS,1946-02-03
18595,JASON,FRANKLIN,1993-06-24
17775,BRANDON,SMITH,1954-01-02
11309,BRIAN,MONROf,1942-11-08
14873,JOv,BROWN,1989-08-16
5150,MARTHA,GARCIA,1957-05-14
7893,sEBORAH,RAYMOND,1962-03-28
4852,SANDRA,cexS,1994-05-18
13845,tAUL,HART,1960-06-07
16041,ROBERT,SNYDEr,1992-01-02
18633,GARY,JONES,1971-09-17
14311,VgCTOR,BROOKS,1959-04-09
6892,DOROTHY,NELSON,1986-12-07
9660,CYNTHIA,CARTER,1949-06-08
7843,MARTHA,REESE,1983-06-22
11102,WILaIAM,STEVENS,1976-05-24
13285,DAVID,COOK,1973-02-18
19975,CHseLES,GRAVES,1965-12-25
16445,GERAdD,tNGLISH,1997-08-05
6216,MARILYc,NICHOLSON,1969-01-22
17090,JASON,KELLY,1992-03-06
19291,DAVID,MOORE,1958-11-25
5370,PAULA,WILSON,1966-05-07
16327,ROBErT,RICHARzSON,1984-05-16
8686,NANCY,TAfE,1945-10-26
13431,ERIC,HERNANDEZ,1985-07-25
18297,JAMES,MEYER,1995-09-11
6673,MARcA,JONES,1990-01-04
11444,KEVIN,GARCIA,1977-02-28
19412,SCOTT,ADAMS,1948-04-19
14197,JOSEPH,SCHNEIDER,1981-02-28
6371,DOROTHY,OWENS,1985-02-01
4138,PAaRICIA,RHODES,1950-03-19
14291,MICHAEL,JOgES,1946-09-24
9588,JUDITH,RIVERA,1979-11-20
2389,MARY,LeWRENCE,1981-03-16
5018,SUSAN,KERR,1974-04-06
17372,CHARLES,REdD,1957-05-25
6309,MICHELLE,WOODS,1999-06-25
2795,VIRGINIA,THOMAS,1988-11-30
14949,MICHAcL,WEST,1963-12-12
4125,MAve,REED,1987-07-25
13033,SHAWN,SIMON,1944-11-11
3064,JULIA,PEREZ,1943-03-12
16964,ERIC,WELCH,1978-12-22
16665,JERRY,RODRIQUEZ,1946-07-22
3482,JENNIFER,SMITz,1950-04-25
14248,JAMES,KENNEDY,1980-12-31
11510,sRUCE,WOqF,1996-06-25
13238,STEVE,HEATH,1998-08-27
11996,ROBERT,REED,1963-10-11
1168,JUDY,VALDEZ,1964-04-10
19249,eARRY,HUFFMAN,1958-02-26
17471,EDfARD,PEREZ,1943-03-30
5683,MARY,PHILLIPS,1948-08-17
19058,MICHAEx,BRYAN,1985-06-24
10928,JOHN,WILLIAMS,1963-12-06
8553,eOYCE,DAWSwN,1996-10-29
6651,MARY,FINLEY,1987-01-03
13050,JEFFREY,STRONG,1973-11-13
4954,JESSICA,PACE,1957-09-16
18183,CHRISTOPHER,JONES,1980-03-25
13449,JOSEcH,HENSON,1992-12-05
19725,ALAN,THOgPSON,1946-10-15
7667,NORMA,MCPHERSON,1945-01-09
10982,FRED,MILLER,1974-07-29
14876,GREGORw,ROWLAND,1969-05-29
14237,MICHAEL,ROBERTS,1948-12-07
17384,BRIAN,JACKSON,1983-01-18
8406,SHIRLEY,CARROLL,1962-06-05
3029,MARIE,FRANKLIN,1995-08-22
5142,PATRICIA,GOMEZ,1981-03-10
2020,JUDY,HARRIS,1949-06-11
12967,ROBERT,SMITH,1998-12-08
1119,BARBARz,OBRIEN,1988-01-14
18920,RONzLD,DAVIS,1963-04-29
7100,CATHfRINE,FOX,1949-03-13
17289,BRdAN,StLLIVAN,1968-04-08
12461,CHARLES,GrAHAM,1960-06-11
4597,MARY,HALE,1940-08-11
16735,DAVIf,BISHOP,1956-09-29
7560,MICHELLE,HEzERT,1975-10-02
15757,ADAM,PHELPS,1966-11-21
16944,PETER,ODOM,1980-12-23
150,VIRGINIA,STEELE,1983-06-14
9028,MARY,WILLIAMS,1962-12-19
5608,MARY,STRICKLAND,1965-01-10
4938,LwSA,WEAVER,1971-05-02
4087,MARIA,ANDERSON,1973-10-30
13520,WILLIAM,LUCqS,1946-06-06
17687,PATeICK,CLARK,1976-11-29
16399,TaOMAS,INGRAM,1969-05-23
11253,JOxN,BISHOP,1995-01-09
3751,CAROLYN,BAKER,1971-05-18
9922,NORMA,gALDWELL,1957-01-02
15706,JAMEe,PgPE,1983-03-04
16670,SCOTT,JqHNSON,1976-04-02
4092,RUTH,MEDINA,1958-02-09
2526,JENNIFER,SCwTT,1984-02-01
16903,MICHAEL,MATTsEWS,1993-02-19
6498,HELEN,FISHsR,1971-01-31
759,SANDRA,SANDERS,1992-08-01
16592,TsOMAS,LEWIS,1960-04-11
19930,JvFFqEY,BENTLEY,1989-08-13
9598,SHAcON,ROBERTS,1958-04-01
16780,ALAN,FAULKNER,1981-12-28
2122,MARY,HENSLEY,1965-07-29
9277,DENeSE,DAVIS,1968-09-19
9642,PATRICIA,PENA,1952-01-16
1692,SANDRf,JOzES,1966-01-04
1769,LOIS,BLACK,1958-12-02
4302,ANNE,FULTON,1940-12-14
9927,DOROTdY,wALEaaINE,1973-10-05
4868,ANNA,BARNES,1946-05-15
3411,GLORId,GARZA,1946-09-25
18186,CHfRLES,HALL,1965-09-06
1674,MICHELLE,COLLgER,1957-05-09
11925,PATRICK,HARqON,1967-01-11
11725,MICHAEL,ALLEN,1963-05-20
6829,LIqA,BURTON,1969-08-30
5265,KATHY,MARTIN,1968-01-01
10321,MICHAEL,vODcIQUEZ,1940-07-14
18257,MItHAEL,JIMENEZ,1964-06-25
14966,STEVEN,ORTIZ,1940-03-29
12971,GEORGE,SMITH,1992-01-10
14422,JEFFReY,JACKSON,1989-05-14
2127,SUSAN,vTrNLEY,1987-02-27
8116,PAMELA,ROBERTSON,1944-03-02
4700,PAMELa,LARA,1969-08-25
9035,SARAH,RODRIGUEc,1979-02-11
18945,JOHN,JOHNSON,1961-12-05
10386,DOUGLAS,rAUNDERS,1977-08-12
2687,JUDITH,SrNTIAGO,1994-06-14
9122,LINDA,ROGERS,1948-10-28
16586,CHRISTOrHER,STEWART,1946-02-19
9898,MARgA,KRAMER,1991-12-26
3397,LAgeA,FvORxS,1959-12-09
19105,STEPHEN,CARROLL,1957-12-11
16941,DOwALD,SPENCER,1983-05-11
13411,DENNIS,SLATER,1995-04-09
16972,RICHARD,GUERRERO,1963-01-19
2439,LISA,COOK,1948-05-02
14819,BRANDON,MORENO,1984-07-23
9648,JUDY,FOSTEe,1982-03-01
1162,SUSAN,LEs,1990-10-18
2703,MARIE,GRIMES,1973-03-21
18348,WIrLIAM,JAMES,1980-07-20
19614,DOUGLAS,PORTER,1943-03-11
4301,wLzCE,TOWNSEND,1991-09-24
16674,BRsgz,MILLER,1993-08-09
135,MARY,WOOD,1942-04-13
7910,MARY,OBRIEN,1944-10-24
792,MARY,BISHOP,1992-12-20
17233,LARRY,JgNES,1953-07-26
15829,MICHAEL,RAMIREs,1946-12-06
15184,JOHg,WAGNqR,1981-11-21
13813,DAVID,MURPHY,1998-12-24
17375,CLAREwCE,HENDRIX,1985-07-06
2525,RUBY,BROWN,1964-03-22
4661,DEBORAz,BEST,1984-04-13
10072,JAMES,xOHNSOs,1954-10-30
7592,vANCY,HAcRIS,1965-07-02
3365,KIMBERLY,BAKER,1953-06-28
15844,JEFFREY,DIXOz,1988-03-02
3784,LINDA,DAVIS,1975-09-03
13514,LAWREsCE,WILKERSON,1943-08-10
7031,MARIE,MATHIS,1997-02-27
15700,ROBERT,PERRY,1940-05-10
2264,ANDREA,STEVENS,1941-10-17
11190,ROBERT,wAMPBELL,1946-05-17
98,zATHY,BARBER,1964-07-17
9278,ROSE,HART,1975-10-16
9838,CHRISTINd,LEE,1940-06-15
7890,CAROL,LANE,1949-06-22
19131,aANIEL,JOHNSON,1968-02-09
7565,BARBARA,JAMrS,1985-05-21
4385,ANNIE,tAMILTON,1953-12-28
2661,KELLY,ROBINSON,1996-03-31
9144,RrCHEL,GONZAaEZ,1969-02-15
3488,IRENE,BAILEf,1964-04-05
801,MELISSA,BENSON,1949-06-19
4453,JENNIFER,HERNANDEZ,1942-07-30
17364,TODD,KING,1982-02-26
7443,ANNE,MCCLAIN,1989-06-27
14669,JOSEPH,LOPEZ,1984-03-02
119,eOROTHx,FARMER,1982-01-01
8664,SHIRLEY,MONTGOMERY,1946-08-29
2310,PATRICIA,JEFFdRSON,1952-03-13
7505,MILDRED,SCHNEIDER,1986-09-19
17099,JOHN,VASQUEZ,1980-12-22
10889,RONALD,ALLwN,1996-02-07
1423,NANCY,JOHNSON,1944-03-30
10129,JAMES,COOfEY,1950-07-05
3942,EMILY,PEREZ,1974-04-26
18649,DAVID,RUIZ,1968-11-21
19756,WILLIAM,JOHNSON,1976-05-19
3887,SUSAN,RANDOLPH,1959-06-07
5602,CHRISTINE,BqRRY,1947-08-21
14377,THOMtS,HENDERSON,1953-04-27
15364,ANTHONY,xRICE,1996-09-02
3247,MARz,PEREc,1965-01-25
19336,JAMES,YOUNG,1945-04-09
730,JAaICE,CALHOUN,1994-01-16
908,ROBIN,ANDERSOz,1977-11-08
12124,JAMES,SUMMERS,1982-03-14
10816,DONALD,gAsS,1953-04-26
17978,cASON,SMITf,1987-07-28
10590,SHAeN,GARNER,1975-05-19
7017,BfTTY,MwYO,1973-05-14
7248,ANNE,WARE,1942-05-03
13984,PHILLIP,MARQUEZ,1943-09-10
2301,KAREN,ALLEN,1960-11-28
6797,MILDRED,PATTERSON,1960-01-07
2185,BARBARA,DALE,1988-01-14
4980,MARIA,KELvY,1963-10-26
5586,CvRISTeNE,CARTER,1993-02-21
5135,JANET,BROWN,1954-08-28
19916,JEFFREY,LEE,1963-05-28
1042,DEBORAH,SMITH,1946-03-28
121,TINA,WRIGHT,1976-03-24
10536,RANDY,SMITH,1995-09-06
13829,WILLIAM,BRcWN,1994-05-31
9469,LISA,JOqNSON,1996-03-16
3149,MARY,JOYCE,1945-08-20
14232,BENJAMsN,FORD,1947-01-15
14404,rAMES,GREEN,1965-09-14
14276,RYAN,DUNCAN,1982-04-16
10938,PAUL,WEBSTER,1975-11-03
13671,LARRY,MACK,1944-04-01
18344,PETER,HAgL,1957-07-01
8899,ANGEzA,MCDONALD,1951-04-05
9151,DIANA,FISHER,1979-05-25
12948,ROBEfT,JzNES,1940-11-05
6518,HELEN,BARR,1943-01-09
4662,LINzA,DAVIS,1943-11-05
4760,EMILY,SCOTT,1987-02-08
5799,rsLLIAN,SCOTT,1990-04-05
19792,JACK,BYRD,1980-12-21
11706,RICHAfq,RANDALL,1961-12-18
12731,RICHARD,BLANKENSHIP,1987-11-25
3677,STEPHANIE,JONES,1987-11-09
18772,LAaRENCE,NEWMAN,1985-02-18
3158,JESeICA,GIcL,1965-09-29
596,JEAN,ALLEN,1985-09-09
17231,KEVIN,MILLER,1968-10-06
17093,qHARLES,RYAN,1953-06-01
5516,KATHLEEN,SMITH,1950-06-13
18497,DAVID,JOSePH,1994-11-24
4288,JUDY,GARDNER,1971-07-23
692,MELISSv,JACKSON,1942-06-08
14337,DAVID,LOPEZ,1956-11-25
11368,MICHAEL,BURGESS,1953-09-18
10393,RICHARD,MORRISON,1945-02-24
16172,PxUL,REID,1989-09-11
8083,KAREN,EVEREaT,1999-01-01
11343,ROBERT,OWENS,1974-06-17
11566,HAROtD,WISE,1957-02-18
14347,DAVID,JOeNSON,1998-03-24
18769,WILLIE,BROCK,1942-04-03
7952,ELIZABETf,HEATH,1997-11-11
12623,MICHAEL,CALHOUN,1978-05-27
5875,sAqAH,COFFEY,1956-01-02
12780,DANIEL,GRAY,1951-07-02
16227,JOHN,EDWARDS,1994-04-27
19137,JOE,VASQUEZ,1940-02-05
245,DORxS,BARRETT,1997-02-04
18120,JOHN,VASQUEZ,1999-09-26
2949,MICHELrE,BEtdY,1960-09-22
19235,DzVID,BAIRD,1944-05-09
16151,GERALD,PAUL,1966-06-21
5912,VIRGIgIA,SINGeETON,1944-01-17
10232,JUAN,WELLS,1954-12-29
18032,GREGORY,GUTIERREZ,1990-03-27
15632,THOMAS,HART,1984-05-11
223,EVELYN,MACK,1982-10-31
15060,MICHAEL,BROWN,1989-11-06
11561,JAMsS,KELLEY,1975-04-13
14238,MATTHEW,RUSSELL,1950-12-14
18261,ROBERT,SWANSON,1971-07-02
4701,RgBECCA,BRUCx,1961-08-26
4023,vUBY,GATES,1946-08-25
5495,ROSE,MIRANDA,1981-05-01
17593,JAMES,ENGLAND,1957-01-08
9479,ASHLEY,JONES,1943-04-18
3116,JEAN,KEdv,1972-05-05
5744,SHIRLEv,ARNOLD,1962-12-29
11416,JAMES,HOGAN,1954-04-04
11349,BRANDON,MORGAN,1978-04-01
17513,DAVID,dISCHER,1995-06-02
11574,MeCHAEL,ORTEGA,1998-09-23
6889,SHAROw,WARD,1950-04-29
17312,BtNJAMIN,GARRETT,1954-03-28
13108,JOHv,vARRELL,1944-07-05
5231,JANET,MILLER,1969-10-05
19222,AeTHONY,ESPINOZA,1952-03-17
5706,ELIZABETH,CAMPBExL,1968-03-21
2129,DIANA,MILLER,1958-03-26
7370,CHRISTINA,SIMMONS,1956-04-30
3182,MILDRED,SULLIVAN,1940-12-20
14247,EDWARD,LEWIS,1972-08-04
4104,MeLDRED,dERKINS,1975-03-17
8169,ELrZABETH,MIDDLETON,1967-11-13
18160,EDWARD,JONES,1980-03-29
8824,ANNIE,MOORE,1945-04-22
13308,MARK,KELLY,1972-04-27
4435,JzNICE,xING,1963-06-29
16854,WILLIAM,ANDERSON,1965-02-17
5109,SANDRA,SERRtNO,1946-06-17
1176,MELISSA,SMITH,1984-04-11
790,ANNE,SCHULTZ,1982-06-18
11228,MICgAEL,MORENO,1957-07-02
4581,JUDY,CERVwNTES,1943-10-08
222,ANGELA,JOHNSdN,1995-04-07
4296,MARILYN,LEE,1961-01-09
13485,TERRY,wsNG,1975-09-03
1758,DEBRA,MfORE,1999-08-03
17081,EARL,STOKES,1972-01-12
2717,ANNIE,GARZg,1979-11-09
16853,RICHARD,WOODWARD,1954-10-30
14594,SCOTT,WALdACE,1948-05-08
8000,MARY,LANG,1977-07-07
8351,ANGELA,MOON,1953-10-16
13547,KEVIN,ADKINS,1979-11-07
1328,SHARON,BROWe,1963-01-06
7190,KIMBERLY,WILLIAMS,1970-12-10
11902,JERRY,HARRISON,1953-04-26
17236,ANTONIO,EVANS,1975-06-28
7317,RUBY,WHcTE,1960-05-12
2822,LINDA,CASTILLO,1965-08-20
3732,ANGELA,CAMPBEtL,1940-01-19
8431,CYNTvvA,STcVENSON,1990-03-31
535,SARAH,WEAVcR,1990-03-27
16652,MICHAEL,SAVAGE,1960-07-15
6172,McRGARxT,EDWARDS,1955-08-21
646,MARIA,MOORE,1976-10-09
16347,CHARLES,NIEVES,1978-08-10
3451,GLORIA,HENDERSON,1970-08-19
2502,HEATHER,THOMPSON,1958-12-24
13359,ANDREW,MILvER,1986-11-04
14977,ANtHONY,HALr,1952-06-12
2781,SHIRLEY,MARTIN,1985-09-19
16607,PAUL,PRUITT,1989-03-24
6207,AMANDA,JONES,1994-11-13
10282,WILLIAM,PHILLIPS,1963-05-01
4391,SHIRLEY,BISHOP,1976-09-03
5253,CxRrLYN,TAYLOR,1988-10-28
11599,TIMOTHY,HEWdTT,1963-07-27
14860,JOHN,LUNA,1958-08-06
18229,BRIAN,MILLER,1998-03-22
4657,SUSAN,TYSON,1969-03-15
19231,KENNETH,THOMAS,1976-12-13
13475,JOSEPH,CRUZ,1970-10-01
12475,CHzIS,BIRD,1962-05-16
17424,JOHN,vAYLOR,1984-01-09
6660,MARY,LOPEg,1949-11-27
16465,ROBERT,MCFARLAgD,1975-02-21
4255,JULIE,REeES,1987-10-14
15174,THOMAS,TUCKER,1946-11-22
3048,VIRGIaIA,GUTIERREZ,1968-01-29
13401,ANTHONY,fALL,1984-11-14
18265,ROBERT,afRTIN,1996-05-05
8316,SAeA,HUGHES,1961-02-08
3725,ANGELA,ORR,1975-12-16
11014,aOHN,SNOW,1948-02-19
9248,SHIRLEY,SHsRPE,1948-11-16
2621,SHARON,DUFFY,1989-12-17
4256,JOAN,GONeALEZ,1997-04-04
15052,HARRY,CONNER,1989-12-14
4089,BRENDt,LOPEZ,1968-10-08
9108,DIANE,SANDERS,1966-08-15
4832,LINfA,LLOYD,1971-10-16
