firstname,surname,birthdate,zip_codes
10641,JAMES,RICHARD,1965-07-27,11227
10642,WILLIAM,PENA,1942-08-28,11227
10643,JOSEPH,BATTLE,1984-10-28,11226
10644,MICHAEL,GORDON,1960-01-21,11226
10645,MARTIN,TORRES,1942-07-19,11226
10646,ANTHONY,AUSTIN,1980-05-30,11377
10647,WILLIAM,FLORES,1956-12-25,11226
10648,ANTHONY,KELLEY,1974-11-27,11227
10649,RONALD,SUAREZ,1975-05-16,11109
10650,HARRY,BAKER,1987-03-26,11227
10651,MICHAEL,LANCASTER,1969-02-06,11226
10652,JAMES,TAYLOR,1973-03-02,11226
10653,EUGENE,SCHROEDER,1940-11-04,11227
10654,PETER,MCCOY,1962-04-22,11377
10655,PETER,MOORE,1958-01-11,11226
10656,FRED,WILSON,1946-12-31,11226
10657,MATTHEW,FOREMAN,1961-06-11,11377
10658,MATTHEW,HAMILTON,1970-01-21,11226
10659,JEFFREY,GLASS,1995-06-14,11226
10660,HOWARD,DAVIS,1968-09-21,11226
10661,MICHAEL,OWENS,1990-05-03,11109
10662,STEVEN,BENDER,1996-05-14,11226
10663,JOHN,MORRIS,1998-03-24,11226
10664,GEORGE,SHERMAN,1989-07-05,11377
10665,FRANK,SANCHEZ,1943-10-20,11377
10666,ARTHUR,LANG,1970-03-02,11226
10667,JOSEPH,OLIVER,1997-08-28,11226
10668,JOSEPH,GREER,1969-10-03,11226
10669,JAMES,VAZQUEZ,1981-11-25,11226
10670,MATTHEW,PAYNE,1994-09-23,11227
10671,GARY,SPENCER,1947-08-09,11226
10672,VICTOR,PARKER,1991-12-04,11226
10673,ROBERT,BROWN,1973-09-22,11226
10674,JUAN,RIGGS,1943-05-08,11226
10675,JAMES,HEATH,1991-09-14,11227
10676,KEVIN,GUTIERREZ,1960-08-08,11226
10677,JAMES,MITCHELL,1959-03-26,11226
10678,CHARLES,BELL,1946-03-08,11227
10679,JERRY,JONES,1950-03-23,11226
10680,DAVID,GALLOWAY,1968-08-16,11226
10681,FRED,PAGE,1984-06-14,11227
10682,MATTHEW,AYERS,1960-04-03,11226
10683,LARRY,WOOD,1995-07-04,11227
10684,JOHN,JOHNSON,1961-07-08,11226
10685,STEPHEN,WOOD,1986-03-12,11227
10686,WILLIAM,JAMES,1986-03-28,11109
10687,DENNIS,FLORES,1986-01-17,11109
10688,ANDREW,FLORES,1979-12-03,11226
10689,THOMAS,MALONE,1945-01-11,11226
10690,WILLIAM,BARTON,1989-03-08,11226
10691,JOSEPH,OLIVER,1988-08-21,11227
10692,BRANDON,ADAMS,1979-03-07,11226
10693,GARY,GILL,1944-11-02,11226
10694,DAVID,MURPHY,1947-12-06,11226
10695,MICHAEL,HARVEY,1989-09-07,11227
10696,ERIC,WILEY,1966-05-02,11109
10697,JOSE,LANG,1967-09-07,11377
10698,RICHARD,WHEELER,1996-01-12,11377
10699,ANTONIO,KELLEY,1991-05-30,11227
10700,WALTER,SHAW,1949-03-19,11227
10701,JOHNNY,JOHNSTON,1949-11-23,11377
10702,JOSEPH,STOKES,1978-03-16,11377
10703,GARY,MCLAUGHLIN,1979-03-20,11109
10704,KEITH,VALDEZ,1971-08-16,11226
10705,WILLIAM,SHIELDS,1948-11-24,11377
10706,RICHARD,GUERRERO,1983-12-08,11377
10707,CHARLES,KELLY,1950-08-29,11109
10708,MICHAEL,JOHNSON,1949-10-22,11226
10709,PAUL,TAYLOR,1991-07-28,11226
10710,ROGER,JENSEN,1989-11-26,11226
10711,MARTIN,FOX,1951-10-02,11226
10712,JEFFREY,SIMMONS,1997-11-25,11226
10713,JAMES,WILLIAMS,1971-07-15,11227
10714,CHARLES,TAYLOR,1946-07-30,11226
10715,DONALD,SHORT,1980-03-13,11227
10716,ARTHUR,THOMAS,1944-07-30,11226
10717,WILLIAM,MORGAN,1943-07-13,11377
10718,JERRY,EDWARDS,1965-09-29,11109
10719,ROBERT,MURRAY,1961-05-25,11226
10720,DONALD,BLEVINS,1944-10-12,11227
10721,ROBERT,TERRY,1986-01-10,11227
10722,RICHARD,CAMACHO,1998-07-21,11377
10723,JOHN,DEAN,1946-03-23,11377
10724,JOSHUA,HANSON,1988-12-17,11227
10725,CHARLES,KELLER,1998-01-26,11226
10726,MICHAEL,KING,1973-12-01,11226
10727,GEORGE,CRUZ,1978-11-19,11226
10728,PETER,SALAS,1956-08-16,11226
10729,KEITH,DIXON,1969-11-08,11109
10730,RYAN,ROBINSON,1942-05-22,11109
10731,RYAN,EVANS,1940-03-01,11226
10732,LAWRENCE,SAWYER,1959-02-01,11226
10733,DAVID,ROY,1974-12-13,11377
10734,WILLIAM,AGUILAR,1943-07-18,11109
10735,ROBERT,ANDERSON,1962-12-08,11226
10736,RICHARD,MORAN,1952-09-07,11227
10737,JOSEPH,DUNN,1968-12-17,11377
10738,STEVE,GRAY,1975-10-12,11226
10739,JEFFREY,HOWARD,1969-08-06,11226
10740,RICHARD,REESE,1951-07-02,11227
10741,RUSSELL,HARRIS,1965-01-11,11226
10742,MICHAEL,STEELE,1987-02-02,11227
10743,JUSTIN,AUSTIN,1980-06-10,11226
10744,GEORGE,HILL,1960-11-03,11227
10745,JOHN,JONES,1989-02-09,11109
10746,STEPHEN,WILLIAMS,1960-01-28,11377
10747,PETER,WALKER,1947-11-30,11226
10748,MICHAEL,DELEON,1941-08-07,11377
10749,DANIEL,ALLEN,1983-09-13,11377
10750,WILLIAM,DONOVAN,1990-12-19,11226
10751,SAMUEL,MOORE,1943-04-04,11226
10752,STEVEN,FLEMING,1941-09-21,11377
10753,LAWRENCE,HARRIS,1951-04-09,11377
10754,JOHNNY,TORRES,1974-05-14,11226
10755,RICHARD,NORMAN,1991-09-14,11226
10756,JEFFREY,HART,1983-05-14,11227
10757,CARLOS,REEVES,1999-12-13,11377
10758,WILLIAM,ROSS,1970-04-23,11227
10759,DAVID,HILL,1982-04-24,11227
10760,GREGORY,HUFFMAN,1965-12-31,11227
10761,PAUL,MATTHEWS,1967-12-29,11227
10762,KEITH,WRIGHT,1968-10-13,11377
10763,MICHAEL,MORGAN,1993-09-05,11226
10764,WAYNE,DEAN,1943-10-18,11227
10765,THOMAS,CONTRERAS,1960-06-21,11226
10766,MARTIN,YOUNG,1995-12-06,11377
10767,JOSEPH,WRIGHT,1967-07-22,11226
10768,TIMOTHY,MURPHY,1958-08-11,11377
10769,WALTER,SCOTT,1997-02-09,11226
10770,JASON,CARTER,1941-02-13,11226
10771,ROBERT,ROBERTSON,1946-05-27,11226
10772,EUGENE,RUSSELL,1951-09-03,11227
10773,LAWRENCE,FARMER,1962-11-03,11227
10774,ROGER,MILLER,1941-09-27,11226
10775,CHARLES,OLSON,1958-04-18,11226
10776,MARK,OCONNOR,1967-12-18,11377
10777,DAVID,HILL,1954-09-11,11226
10778,JOHN,SILVA,1996-10-31,11226
10779,DAVID,BARKER,1960-03-30,11377
10780,LARRY,FISHER,1943-12-27,11226
10781,CARL,MARQUEZ,1957-10-28,11109
10782,ROBERT,HERNANDEZ,1976-10-01,11377
10783,PAUL,HAYNES,1985-03-08,11226
10784,WILLIAM,WELLS,1985-03-07,11226
10785,THOMAS,JOHNSON,1996-06-29,11226
10786,ROBERT,MASON,1959-09-16,11226
10787,JOSEPH,OCONNOR,1994-11-05,11226
10788,JEREMY,PERRY,1959-02-09,11109
10789,TIMOTHY,POWELL,1969-01-17,11227
10790,AARON,LEE,1992-08-11,11227
10791,BOBBY,JOHNSON,1959-04-12,11377
10792,SCOTT,JACKSON,1970-09-18,11226
10793,GEORGE,KING,1958-10-19,11226
10794,JOSEPH,RUSSELL,1985-10-15,11226
10795,CHARLES,MOORE,1995-09-01,11226
10796,WILLIAM,SCHWARTZ,1979-06-28,11226
10797,WILLIAM,HICKS,1960-07-18,11226
10798,WILLIAM,SMITH,1966-12-08,11226
10799,RICHARD,YOUNG,1949-02-25,11226
10800,MICHAEL,LAWRENCE,1964-08-13,11226
10801,ROBERT,YOUNG,1985-10-26,11226
10802,DANIEL,JOHNSON,1996-09-05,11377
10803,WILLIAM,SHEPHERD,1998-05-24,11377
10804,ARTHUR,BOWERS,1957-04-16,11109
10805,MICHAEL,JOHNSON,1961-10-13,11377
10806,JEFFREY,CARTER,1978-04-25,11377
10807,JUAN,LAWSON,1952-09-15,11227
10808,ANTONIO,PETERSON,1981-02-28,11226
10809,JOHNNY,ARMSTRONG,1985-06-11,11226
10810,MARK,JENNINGS,1971-09-22,11227
10811,LARRY,GREEN,1980-04-05,11227
10812,STEVEN,BROWN,1952-11-03,11109
10813,STEVE,DAWSON,1983-12-06,11109
10814,STEPHEN,CLARK,1983-03-06,11226
10815,DAVID,SCOTT,1979-08-08,11226
10816,DONALD,BASS,1953-04-26,11226
10817,CHRISTOPHER,COLEMAN,1973-07-15,11377
10818,JAMES,GAY,1966-11-17,11227
10819,RYAN,WILKINS,1957-11-24,11226
10820,JUSTIN,KING,1990-01-06,11227
10821,PATRICK,THOMAS,1995-05-23,11226
10822,DONALD,GLASS,1947-05-28,11226
10823,SHAWN,SHELTON,1990-03-08,11227
10824,BRANDON,MARTIN,1963-08-31,11109
10825,CRAIG,BEST,1961-04-13,11377
10826,JASON,ROSS,1944-07-10,11226
10827,RONALD,HARDIN,1971-12-22,11226
10828,BENJAMIN,MILLER,1980-02-18,11226
10829,GARY,KEY,1995-10-27,11226
10830,WALTER,ANDREWS,1999-01-11,11226
10831,JASON,MATHIS,1950-10-14,11227
10832,DANIEL,CARNEY,1992-01-25,11226
10833,WILLIAM,SHEPHERD,1954-04-26,11226
10834,GEORGE,PHILLIPS,1960-03-18,11109
10835,MICHAEL,ACEVEDO,1986-02-15,11377
10836,HAROLD,WILLIAMS,1976-05-04,11226
10837,MICHAEL,GRANT,1988-12-19,11377
10838,MICHAEL,CLARK,1954-07-10,11226
10839,GEORGE,PATTERSON,1998-12-09,11226
10840,JERRY,SWEENEY,1993-10-13,11377
10841,DAVID,SMITH,1985-02-23,11227
10842,WILLIAM,THOMPSON,1954-06-03,11226
10843,DONALD,PETERSEN,1943-12-06,11377
10844,BRIAN,OBRIEN,1946-06-16,11226
10845,JUAN,BARNETT,1997-03-31,11227
10846,JOHN,GORDON,1979-11-15,11226
10847,JACK,JAMES,1987-03-25,11226
10848,JOSEPH,TORRES,1947-05-08,11226
10849,JOHN,JACKSON,1991-12-02,11226
10850,THOMAS,STAFFORD,1970-08-28,11227
10851,KEVIN,LYONS,1976-04-02,11226
10852,JERRY,JAMES,1982-08-12,11109
10853,DENNIS,BALL,1969-07-12,11226
10854,DAVID,HUNTER,1995-08-08,11227
10855,CHRISTOPHER,WHITE,1946-05-07,11226
10856,KENNETH,WILSON,1978-12-05,11226
10857,BRIAN,PUGH,1998-07-05,11226
10858,DANIEL,MARTINEZ,1942-01-17,11226
10859,CLARENCE,WHITLEY,1982-06-20,11109
10860,TODD,GILMORE,1970-08-06,11109
10861,JOHN,WASHINGTON,1987-06-24,11377
10862,JAMES,RODRIGUEZ,1948-03-19,11226
10863,TERRY,GUERRA,1944-11-06,11226
10864,RICHARD,HARDY,1954-11-29,11226
10865,SCOTT,THOMAS,1995-04-12,11226
10866,CHRISTOPHER,BROWN,1946-01-19,11226
10867,TERRY,STANLEY,1960-08-22,11227
10868,DANIEL,REID,1959-10-06,11226
10869,KEVIN,GARCIA,1972-04-11,11227
10870,HARRY,CAMPOS,1955-07-26,11109
10871,CHRISTOPHER,MUNOZ,1992-02-21,11226
10872,JOHN,CRAIG,1945-06-02,11109
10873,CHRISTOPHER,BUCHANAN,1976-05-06,11227
10874,JOSEPH,CAMPBELL,1962-04-04,11226
10875,HAROLD,LEON,1989-07-04,11226
10876,JOSEPH,MURPHY,1971-02-05,11377
10877,MICHAEL,WILSON,1964-06-20,11377
10878,LAWRENCE,DIXON,1964-10-28,11226
10879,RICHARD,JOHNSTON,1961-02-02,11377
10880,CRAIG,LEE,1999-11-12,11226
10881,BILLY,JOHNSON,1966-01-04,11226
10882,PATRICK,DIAZ,1973-10-30,11226
10883,CHRISTOPHER,BENNETT,1993-06-07,11377
10884,THOMAS,GARDNER,1959-12-15,11377
10885,WAYNE,MITCHELL,1942-07-01,11377
10886,DANIEL,CARLSON,1976-12-05,11226
10887,LARRY,JAMES,1991-03-29,11109
10888,WILLIE,MEDINA,1955-07-31,11377
10889,RONALD,ALLEN,1996-02-08,11226
10890,ROBERT,CURRY,1948-09-03,11227
10891,JEFFREY,TURNER,1949-04-08,11226
10892,TERRY,MCDOWELL,1986-09-24,11227
10893,GREGORY,MOORE,1960-10-16,11226
10894,JEFFREY,RICHARDSON,1941-12-19,11109
10895,MICHAEL,HARPER,1958-01-15,11227
10896,MICHAEL,ORR,1960-12-28,11227
10897,ROBERT,GARCIA,1994-05-27,11226
10898,JAMES,THOMAS,1975-11-23,11226
10899,JAMES,HICKS,1947-01-10,11226
10900,DONALD,COLLINS,1966-08-06,11226
10901,GERALD,BROWN,1958-10-19,11226
10902,JOHN,CROSS,1946-08-01,11109
10903,WILLIE,FREEMAN,1994-03-23,11226
10904,ANTHONY,OCHOA,1959-07-21,11227
10905,CARL,KANE,1975-01-21,11227
10906,JOHN,HAYNES,1964-06-29,11227
10907,GARY,LONG,1946-06-16,11226
10908,WILLIAM,MURRAY,1953-11-27,11227
10909,ROBERT,BARRY,1994-04-11,11227
10910,DANIEL,LITTLE,1998-08-07,11377
10911,DOUGLAS,CASTRO,1983-05-20,11226
10912,WILLIAM,ANDERSON,1973-01-16,11109
10913,JUAN,HART,1975-02-14,11226
10914,HENRY,WALLACE,1974-11-11,11227
10915,DAVID,REYNOLDS,1992-06-10,11377
10916,FRANK,STANLEY,1968-10-16,11227
10917,ROBERT,DAVIS,1976-11-26,11226
10918,FRANK,WEBB,1942-10-17,11226
10919,WILLIAM,MURRAY,1987-09-24,11226
10920,JAMES,ZAMORA,1986-01-18,11226
10921,DONALD,HERNANDEZ,1968-02-04,11109
10922,PAUL,RUSH,1982-04-30,11226
10923,SEAN,RICHARD,1982-05-08,11226
10924,JASON,LARSEN,1990-12-12,11109
10925,JAMES,EDWARDS,1947-08-11,11226
10926,ANTHONY,CLEMONS,1948-12-05,11377
10927,RICHARD,COOK,1961-01-14,11226
10928,JOHN,WILLIAMS,1963-12-07,11109
10929,MICHAEL,MARTIN,1957-01-10,11377
10930,ARTHUR,DIXON,1951-02-17,11226
10931,RONALD,WATSON,1971-01-09,11227
10932,DONALD,KING,1942-06-05,11226
10933,JOSEPH,MARTIN,1956-12-06,11226
10934,RICHARD,RILEY,1946-12-24,11226
10935,KEVIN,MACDONALD,1971-10-09,11227
10936,MICHAEL,CALLAHAN,1952-11-19,11227
10937,STEPHEN,BLANKENSHIP,1949-03-26,11377
10938,PAUL,WEBSTER,1975-11-04,11226
10939,WILLIAM,BOWMAN,1961-12-19,11226
10940,HAROLD,BROCK,1961-11-05,11226
10941,CHARLES,WASHINGTON,1967-03-24,11226
10942,MICHAEL,ADKINS,1955-02-22,11226
10943,JASON,HUNT,1947-08-18,11377
10944,JASON,FLORES,1948-11-02,11109
10945,ALBERT,THOMPSON,1953-06-19,11226
10946,DOUGLAS,HOWELL,1996-12-27,11109
10947,TIMOTHY,KENNEDY,1976-06-10,11227
10948,JOHN,CLARKE,1981-02-07,11226
10949,GARY,BYRD,1955-10-21,11109
10950,TIMOTHY,KLEIN,1989-05-23,11109
10951,KENNETH,BUCKLEY,1968-09-21,11109
10952,STEPHEN,JOHNSON,1949-02-16,11227
10953,MICHAEL,FOSTER,1997-02-25,11227
10954,HENRY,HART,1986-11-07,11226
10955,ROBERT,MATHIS,1969-08-04,11377
10956,CHARLES,SMITH,1961-10-22,11226
10957,JAMES,BARNETT,1960-05-20,11227
10958,THOMAS,JOHNSON,1949-04-23,11226
10959,DANIEL,STRONG,1999-02-13,11226
10960,ERIC,WILKINS,1949-03-03,11377
10961,CLARENCE,FRENCH,1969-11-02,11227
10962,CHARLES,NELSON,1946-10-03,11226
10963,KEVIN,POLLARD,1950-12-18,11226
10964,RAYMOND,WALKER,1988-09-04,11226
10965,JAMES,DAVENPORT,1988-09-11,11227
10966,FRANK,SCOTT,1973-01-19,11226
10967,ROBERT,ROSALES,1953-07-28,11109
10968,JOSE,SIMMONS,1992-12-19,11226
10969,BRANDON,MENDEZ,1956-12-19,11226
10970,MATTHEW,HANSEN,1982-07-10,11226
10971,MARK,JOSEPH,1962-08-21,11226
10972,HENRY,JONES,1952-06-18,11226
10973,HENRY,COOK,1980-09-27,11226
10974,JOSEPH,RUSSELL,1968-12-01,11226
10975,JOHN,BROWN,1955-12-06,11109
10976,ROBERT,GIBSON,1981-04-06,11227
10977,PAUL,GARNER,1996-02-14,11377
10978,FRANK,CHURCH,1977-02-02,11226
10979,JOHN,NICHOLS,1945-03-04,11227
10980,JAMES,WALKER,1969-12-17,11109
10981,JOSE,FOSTER,1961-10-03,11226
10982,FRED,MILLER,1974-07-29,11377
10983,CARLOS,RAMIREZ,1992-08-28,11227
10984,JOE,ALLEN,1988-10-01,11227
10985,DAVID,MILLER,1993-01-29,11226
10986,DANIEL,SANDERS,1954-08-08,11226
10987,WILLIAM,JONES,1944-02-24,11226
10988,CHRISTOPHER,DUNN,1997-12-21,11226
10989,HENRY,CAMPBELL,1944-05-12,11227
10990,ALAN,MYERS,1961-02-26,11109
10991,ROBERT,HOLMES,1981-02-08,11226
10992,WILLIAM,MILES,1994-11-25,11226
10993,VICTOR,DUNCAN,1989-11-16,11226
10994,JEFFREY,DAVIS,1993-11-06,11226
10995,EDWARD,LOPEZ,1966-08-16,11226
10996,JEFFREY,MCKINNEY,1962-12-17,11227
10997,WILLIAM,WHITE,1990-06-12,11226
10998,THOMAS,SHEPHERD,1947-09-28,11226
10999,JOSEPH,WHEELER,1980-08-20,11226
11000,SAMUEL,COLEMAN,1968-06-29,11377
11001,MARK,BROWN,1955-12-16,11377
11002,CHARLES,WADE,1945-08-26,11109
11003,WILLIAM,LANE,1965-10-26,11226
11004,KEVIN,JACKSON,1960-02-14,11227
11005,BRIAN,FLOYD,1981-08-02,11109
11006,SCOTT,LEE,1955-04-12,11377
11007,FRED,COX,1996-07-12,11226
11008,KEVIN,LEWIS,1991-05-19,11226
11009,WILLIAM,GONZALEZ,1987-05-20,11227
11010,JOSE,WOODS,1960-11-03,11226
11011,JOSEPH,SCOTT,1958-07-24,11377
11012,JAMES,MARTIN,1940-12-09,11226
11013,CHARLES,WORKMAN,1979-12-01,11109
11014,JOHN,SNOW,1948-02-20,11226
11015,JOHNNY,RAY,1955-07-07,11226
11016,CHRIS,GONZALES,1982-06-19,11109
11017,JOHN,TREVINO,1945-12-19,11109
11018,BILLY,JOHNSON,1970-11-29,11226
11019,ROBERT,CARROLL,1989-04-07,11226
11020,RANDY,MCGEE,1998-05-01,11109
11021,PHILLIP,JOHNSON,1941-02-13,11226
11022,ROBERT,WILEY,1965-02-23,11377
11023,JACK,HILL,1995-05-21,11109
11024,GARY,SANCHEZ,1940-09-29,11226
11025,CHRISTOPHER,SMALL,1987-05-28,11226
11026,MICHAEL,PARRISH,1963-03-09,11227
11027,JAMES,KING,1951-10-16,11377
11028,EDWARD,COX,1999-08-19,11227
11029,DANIEL,BROWN,1973-10-07,11109
11030,AARON,BUTLER,1978-10-09,11377
11031,CHARLES,SLOAN,1972-06-24,11226
11032,NICHOLAS,CARPENTER,1993-09-21,11109
11033,MICHAEL,WOOD,1979-10-13,11109
11034,ROBERT,GREGORY,1953-03-03,11226
11035,ERNEST,GRAY,1947-09-04,11226
11036,KENNETH,JOHNSON,1971-11-02,11227
11037,LARRY,GOULD,1966-05-24,11226
11038,LAWRENCE,FIELDS,1970-02-10,11377
11039,JUSTIN,PRICE,1977-05-16,11226
11040,STEVE,ORTEGA,1954-12-23,11226
11041,JONATHAN,THOMAS,1966-05-07,11226
11042,CARLOS,WILLIAMS,1970-02-13,11109
11043,MATTHEW,WALLACE,1962-09-04,11226
11044,JAMES,RODRIQUEZ,1967-01-22,11226
11045,DAVID,FERNANDEZ,1997-08-07,11226
11046,THOMAS,VINSON,1941-07-04,11226
11047,GARY,WARD,1974-12-18,11226
11048,ROBERT,FOSTER,1972-05-13,11226
11049,WILLIAM,WIGGINS,1961-10-13,11377
11050,MICHAEL,NIELSEN,1991-02-17,11227
11051,STEVEN,MORENO,1940-10-03,11109
11052,JAMES,WALKER,1973-11-28,11226
11053,ERIC,ARNOLD,1961-07-19,11227
11054,ROBERT,CRAFT,1942-10-29,11226
11055,JAMES,JONES,1975-04-30,11226
11056,WILLIAM,SIMMONS,1990-10-02,11226
11057,GEORGE,BROWN,1988-01-01,11226
11058,ROBERT,MARSHALL,1944-09-07,11226
11059,SCOTT,ROBERTS,1954-05-07,11226
11060,ROBERT,SMITH,1940-08-17,11226
11061,PAUL,KNAPP,1977-03-19,11226
11062,KEVIN,SMITH,1993-03-18,11227
11063,MATTHEW,CHAVEZ,1946-02-18,11109
11064,JAMES,WILSON,1989-06-26,11226
11065,JEFFREY,MERRITT,1966-06-05,11227
11066,CHARLES,HOWARD,1958-04-13,11377
11067,JOHN,SPENCER,1941-08-31,11226
11068,KEVIN,WAGNER,1967-10-10,11377
11069,MATTHEW,MCDONALD,1973-04-12,11227
11070,RICHARD,EVANS,1984-09-24,11226
11071,BOBBY,SOLIS,1994-05-29,11226
11072,MICHAEL,WEST,1995-03-21,11226
11073,RONALD,FERNANDEZ,1994-07-09,11377
11074,HAROLD,JOHNSON,1988-08-05,11227
11075,CHRISTOPHER,BROWNING,1961-07-06,11226
11076,MATTHEW,CUNNINGHAM,1984-10-02,11226
11077,JOHN,MARQUEZ,1993-10-04,11226
11078,SHAWN,GOODWIN,1986-03-09,11377
11079,CHRISTOPHER,BROWN,1947-01-31,11226
11080,RAYMOND,PENNINGTON,1987-01-17,11227
11081,CHRISTOPHER,REESE,1982-06-21,11377
11082,JAMES,BROWN,1973-06-06,11226
11083,MARK,SMITH,1975-02-15,11109
11084,JONATHAN,HOWARD,1942-12-21,11377
11085,STEPHEN,BAILEY,1940-04-18,11226
11086,DONALD,ROBERTS,1991-01-22,11226
11087,ROBERT,MORRIS,1965-05-06,11226
11088,ROBERT,JONES,1986-08-21,11377
11089,TERRY,WASHINGTON,1958-12-15,11226
11090,MARTIN,TURNER,1949-03-17,11227
11091,JACK,HUDSON,1959-11-25,11227
11092,RICHARD,DIAZ,1943-10-09,11377
11093,RICHARD,WILCOX,1997-04-05,11226
11094,STEVEN,MOORE,1965-09-28,11377
11095,FRED,GOODMAN,1951-08-13,11109
11096,LARRY,WILLIAMS,1944-11-18,11226
11097,JEFFREY,TAYLOR,1966-04-12,11226
11098,EARL,NORTON,1981-09-10,11377
11099,CHRISTOPHER,WHITE,1993-01-26,11227
11100,THOMAS,THOMAS,1989-07-20,11109
11101,ANTHONY,HOLCOMB,1979-10-14,11226
11102,WILLIAM,STEVENS,1976-05-25,11227
11103,ALBERT,BARRERA,1965-08-16,11226
11104,ANTONIO,ARMSTRONG,1963-08-14,11109
11105,RONALD,CARNEY,1958-01-22,11377
11106,ANTONIO,BREWER,1985-11-30,11109
11107,PATRICK,WILLIAMS,1995-02-27,11377
11108,ROGER,AYALA,1993-03-18,11377
11109,MICHAEL,WIGGINS,1961-07-24,11227
11110,KEVIN,SMITH,1984-11-13,11377
11111,DAVID,WILLIS,1959-02-17,11226
11112,FRANK,HUGHES,1953-06-23,11227
11113,CHRISTOPHER,GONZALES,1999-03-19,11226
11114,CHARLES,BOYD,1962-09-09,11377
11115,JOHNNY,MURPHY,1973-12-30,11377
11116,JOHN,THOMPSON,1945-12-15,11227
11117,DAVID,GIBBS,1996-06-18,11226
11118,BRIAN,HOFFMAN,1961-04-20,11226
11119,FRANK,MCCARTY,1954-08-05,11109
11120,JEFFREY,JOHNSON,1957-04-01,11226
11121,CHRISTOPHER,PARKER,1971-06-09,11227
11122,ROBERT,EDWARDS,1979-03-30,11109
11123,GREGORY,WOOD,1988-05-26,11226
11124,WILLIAM,JARVIS,1987-05-23,11109
11125,GARY,OCONNOR,1947-01-01,11226
11126,EDWARD,VALDEZ,1990-04-14,11226
11127,RAYMOND,YOUNG,1966-04-16,11226
11128,ANTHONY,LANE,1982-04-10,11377
11129,HAROLD,BRAY,1993-06-23,11227
11130,RICHARD,WILLIAMS,1997-08-17,11226
11131,JOHN,WRIGHT,1985-09-27,11227
11132,JAMES,CHASE,1989-04-22,11226
11133,CHARLES,MORIN,1978-12-10,11227
11134,RICHARD,PETTY,1947-12-09,11227
11135,JAMES,MACK,1964-05-03,11227
11136,KEVIN,SHELTON,1990-12-19,11377
11137,DAVID,GROSS,1989-08-19,11226
11138,SAMUEL,ROGERS,1978-08-02,11226
11139,JAMES,GRAY,1982-03-15,11226
11140,ROBERT,LEE,1990-11-11,11226
11141,JOSE,BURKS,1971-05-31,11226
11142,ARTHUR,WILLIAMS,1953-03-23,11226
11143,JOSEPH,SMITH,1973-01-26,11226
11144,JOHN,JOHNSON,1958-07-27,11226
11145,SEAN,SPEARS,1993-02-17,11377
11146,JAMES,KELLY,1943-12-18,11377
11147,HARRY,CHARLES,1994-07-05,11377
11148,HOWARD,BELL,1985-06-09,11227
11149,WILLIAM,PERRY,1962-10-25,11226
11150,CHRISTOPHER,RODRIGUEZ,1988-06-05,11109
11151,ARTHUR,SMITH,1995-02-07,11109
11152,TIMOTHY,ELLIS,1990-04-01,11377
11153,JOHNNY,LLOYD,1976-07-30,11226
11154,JOSHUA,SHEPHERD,1943-02-15,11226
11155,BRIAN,WIGGINS,1990-06-30,11226
11156,ERNEST,WALKER,1950-12-05,11227
11157,CRAIG,JOHNSON,1965-08-11,11226
11158,ROBERT,LYNCH,1983-07-25,11226
11159,DAVID,DAVIS,1986-09-18,11109
11160,JOHN,GALLOWAY,1946-08-10,11226
11161,JOE,MCCLAIN,1960-11-24,11377
11162,ARTHUR,LANDRY,1995-05-14,11226
11163,CHARLES,JOHNSON,1987-11-28,11226
11164,CLARENCE,MEDINA,1941-09-26,11377
11165,STEVEN,BROWN,1943-01-24,11377
11166,PAUL,HAYES,1981-07-19,11226
11167,MARK,THOMAS,1966-03-23,11109
11168,HAROLD,WOOD,1972-10-17,11226
11169,RAYMOND,PEREZ,1994-06-14,11226
11170,SCOTT,JOHNSTON,1978-08-10,11227
11171,WILLIE,LANE,1944-11-22,11226
11172,BRIAN,MUNOZ,1990-04-25,11377
11173,MARK,NAVARRO,1961-04-12,11109
11174,ROBERT,STEVENS,1951-01-14,11226
11175,ANTONIO,HARRIS,1942-10-20,11226
11176,JACK,THOMPSON,1940-12-11,11226
11177,JASON,TRAN,1959-12-17,11109
11178,JOHN,BOONE,1950-10-20,11377
11179,WILLIAM,LYNCH,1951-11-27,11226
11180,DONALD,HOUSTON,1990-09-26,11226
11181,SCOTT,NOLAN,1951-07-05,11227
11182,EDWARD,STEVENS,1967-03-19,11109
11183,JAMES,BISHOP,1998-07-29,11227
11184,STEVEN,LEWIS,1956-12-03,11226
11185,DANIEL,BROWN,1964-04-23,11226
11186,DANIEL,GARRETT,1990-11-12,11226
11187,ROBERT,DEAN,1992-10-02,11377
11188,THOMAS,KING,1980-12-08,11227
11189,FRED,GREENE,1967-05-06,11227
11190,ROBERT,CAMPBELL,1946-05-18,11226
11191,ROBERT,SANFORD,1962-11-04,11109
11192,KEVIN,BARNES,1958-05-12,11377
11193,JEREMY,PITTMAN,1975-04-03,11227
11194,JOSEPH,DANIELS,1953-06-19,11109
11195,ERIC,NELSON,1953-02-05,11377
11196,WILLIAM,NIEVES,1965-08-30,11226
11197,ANTHONY,VILLARREAL,1942-11-06,11226
11198,DANIEL,WHITE,1949-10-10,11109
11199,RANDY,SMITH,1991-01-06,11226
11200,LARRY,HANSON,1995-01-28,11109
11201,EDWARD,SMITH,1997-01-27,11226
