firstname,surname,birthdate
DOROTHY,NELSON,12/7/86
CYNTHIA,CARTER,6/8/49
MARTHA,REESE,6/22/83
WILaIAM,STEVENS,5/24/76
DAVID,COOK,2/18/73
CHseLES,GRAVES,12/25/65
GERAdD,tNGLISH,8/5/97
MARILYc,NICHOLSON,1/22/69
JASON,KELLY,3/6/92
DAVID,MOORE,11/25/58
PAULA,WILSON,5/7/66
ROBErT,RICHARzSON,5/16/84
NANCY,TAfE,10/26/45
ERIC,HERNANDEZ,7/25/85
JAMES,MEYER,9/11/95
MARcA,JONES,1/4/90
KEVIN,GARCIA,2/28/77
SCOTT,ADAMS,4/19/48
JOSEPH,SCHNEIDER,2/28/81
DOROTHY,OWENS,2/1/85
PAaRICIA,RHODES,3/19/50
MICHAEL,JOgES,9/24/46
JUDITH,RIVERA,11/20/79
MARY,LeWRENCE,3/16/81
SUSAN,KERR,4/6/74
CHARLES,REdD,5/25/57
MICHELLE,WOODS,6/25/99
VIRGINIA,THOMAS,11/30/88
MICHAcL,WEST,12/12/63
MAve,REED,7/25/87
SHAWN,SIMON,11/11/44
JULIA,PEREZ,3/12/43
ERIC,WELCH,12/22/78
JERRY,RODRIQUEZ,7/22/46
JENNIFER,SMITz,4/25/50
JAMES,KENNEDY,12/31/80
sRUCE,WOqF,6/25/96
STEVE,HEATH,8/27/98
ROBERT,REED,10/11/63
JUDY,VALDEZ,4/10/64
eARRY,HUFFMAN,2/26/58
EDfARD,PEREZ,3/30/43
MARY,PHILLIPS,8/17/48
MICHAEx,BRYAN,6/24/85
JOHN,WILLIAMS,12/6/63
eOYCE,DAWSwN,10/29/96
MARY,FINLEY,1/3/87
JEFFREY,STRONG,11/13/73
JESSICA,PACE,9/16/57
CHRISTOPHER,JONES,3/25/80
JOSEcH,HENSON,12/5/92
ALAN,THOgPSON,10/15/46
NORMA,MCPHERSON,1/9/45
FRED,MILLER,7/29/74
GREGORw,ROWLAND,5/29/69
MICHAEL,ROBERTS,12/7/48
BRIAN,JACKSON,1/18/83
SHIRLEY,CARROLL,6/5/62
MARIE,FRANKLIN,8/22/95
PATRICIA,GOMEZ,3/10/81
JUDY,HARRIS,6/11/49
ROBERT,SMITH,12/8/98
BARBARz,OBRIEN,1/14/88
RONzLD,DAVIS,4/29/63
CATHfRINE,FOX,3/13/49
BRdAN,StLLIVAN,4/8/68
CHARLES,GrAHAM,6/11/60
MARY,HALE,8/11/40
DAVIf,BISHOP,9/29/56
MICHELLE,HEzERT,10/2/75
ADAM,PHELPS,11/21/66
PETER,ODOM,12/23/80
VIRGINIA,STEELE,6/14/83
MARY,WILLIAMS,12/19/62
MARY,STRICKLAND,1/10/65
LwSA,WEAVER,5/2/71
MARIA,ANDERSON,10/30/73
WILLIAM,LUCqS,6/6/46
PATeICK,CLARK,11/29/76
TaOMAS,INGRAM,5/23/69
JOxN,BISHOP,1/9/95
CAROLYN,BAKER,5/18/71
NORMA,gALDWELL,1/2/57
JAMEe,PgPE,3/4/83
SCOTT,JqHNSON,4/2/76
RUTH,MEDINA,2/9/58
JENNIFER,SCwTT,2/1/84
MICHAEL,MATTsEWS,2/19/93
HELEN,FISHsR,1/31/71
SANDRA,SANDERS,8/1/92
TsOMAS,LEWIS,4/11/60
JvFFqEY,BENTLEY,8/13/89
SHAcON,ROBERTS,4/1/58
ALAN,FAULKNER,12/28/81
MARY,HENSLEY,7/29/65
DENeSE,DAVIS,9/19/68
PATRICIA,PENA,1/16/52
SANDRf,JOzES,1/4/66
LOIS,BLACK,12/2/58
ANNE,FULTON,12/14/40
DOROTdY,wALEaaINE,10/5/73
ANNA,BARNES,5/15/46
GLORId,GARZA,9/25/46
CHfRLES,HALL,9/6/65
MICHELLE,COLLgER,5/9/57
PATRICK,HARqON,1/11/67
MICHAEL,ALLEN,5/20/63
LIqA,BURTON,8/30/69
KATHY,MARTIN,1/1/68
MICHAEL,vODcIQUEZ,7/14/40
MItHAEL,JIMENEZ,6/25/64
STEVEN,ORTIZ,3/29/40
GEORGE,SMITH,1/10/92
JEFFReY,JACKSON,5/14/89
SUSAN,vTrNLEY,2/27/87
PAMELA,ROBERTSON,3/2/44
PAMELa,LARA,8/25/69
SARAH,RODRIGUEc,2/11/79
JOHN,JOHNSON,12/5/61
DOUGLAS,rAUNDERS,8/12/77
JUDITH,SrNTIAGO,6/14/94
LINDA,ROGERS,10/28/48
CHRISTOrHER,STEWART,2/19/46
MARgA,KRAMER,12/26/91
LAgeA,FvORxS,12/9/59
STEPHEN,CARROLL,12/11/57
DOwALD,SPENCER,5/11/83
DENNIS,SLATER,4/9/95
RICHARD,GUERRERO,1/19/63
LISA,COOK,5/2/48
BRANDON,MORENO,7/23/84
JUDY,FOSTEe,3/1/82
SUSAN,LEs,10/18/90
MARIE,GRIMES,3/21/73
WIrLIAM,JAMES,7/20/80
DOUGLAS,PORTER,3/11/43
wLzCE,TOWNSEND,9/24/91
BRsgz,MILLER,8/9/93
MARY,WOOD,4/13/42
MARY,OBRIEN,10/24/44
MARY,BISHOP,12/20/92
LARRY,JgNES,7/26/53
MICHAEL,RAMIREs,12/6/46
JOHg,WAGNqR,11/21/81
DAVID,MURPHY,12/24/98
CLAREwCE,HENDRIX,7/6/85
RUBY,BROWN,3/22/64
DEBORAz,BEST,4/13/84
JAMES,xOHNSOs,10/30/54
vANCY,HAcRIS,7/2/65
KIMBERLY,BAKER,6/28/53
JEFFREY,DIXOz,3/2/88
LINDA,DAVIS,9/3/75
LAWREsCE,WILKERSON,8/10/43
MARIE,MATHIS,2/27/97
ROBERT,PERRY,5/10/40
ANDREA,STEVENS,10/17/41
ROBERT,wAMPBELL,5/17/46
zATHY,BARBER,7/17/64
ROSE,HART,10/16/75
CHRISTINd,LEE,6/15/40
CAROL,LANE,6/22/49
aANIEL,JOHNSON,2/9/68
BARBARA,JAMrS,5/21/85
ANNIE,tAMILTON,12/28/53
KELLY,ROBINSON,3/31/96
RrCHEL,GONZAaEZ,2/15/69
IRENE,BAILEf,4/5/64
MELISSA,BENSON,6/19/49
JENNIFER,HERNANDEZ,7/30/42
TODD,KING,2/26/82
ANNE,MCCLAIN,6/27/89
JOSEPH,LOPEZ,3/2/84
eOROTHx,FARMER,1/1/82
SHIRLEY,MONTGOMERY,8/29/46
PATRICIA,JEFFdRSON,3/13/52
MILDRED,SCHNEIDER,9/19/86
JOHN,VASQUEZ,12/22/80
RONALD,ALLwN,2/7/96
NANCY,JOHNSON,3/30/44
JAMES,COOfEY,7/5/50
EMILY,PEREZ,4/26/74
DAVID,RUIZ,11/21/68
WILLIAM,JOHNSON,5/19/76
SUSAN,RANDOLPH,6/7/59
CHRISTINE,BqRRY,8/21/47
THOMtS,HENDERSON,4/27/53
ANTHONY,xRICE,9/2/96
MARz,PEREc,1/25/65
JAMES,YOUNG,4/9/45
JAaICE,CALHOUN,1/16/94
ROBIN,ANDERSOz,11/8/77
JAMES,SUMMERS,3/14/82
DONALD,gAsS,4/26/53
cASON,SMITf,7/28/87
SHAeN,GARNER,5/19/75
BfTTY,MwYO,5/14/73
ANNE,WARE,5/3/42
PHILLIP,MARQUEZ,9/10/43
KAREN,ALLEN,11/28/60
MILDRED,PATTERSON,1/7/60
BARBARA,DALE,1/14/88
MARIA,KELvY,10/26/63
CvRISTeNE,CARTER,2/21/93
JANET,BROWN,8/28/54
JEFFREY,LEE,5/28/63
DEBORAH,SMITH,3/28/46
TINA,WRIGHT,3/24/76
RANDY,SMITH,9/6/95
WILLIAM,BRcWN,5/31/94
LISA,JOqNSON,3/16/96
MARY,JOYCE,8/20/45
BENJAMsN,FORD,1/15/47
rAMES,GREEN,9/14/65
RYAN,DUNCAN,4/16/82
PAUL,WEBSTER,11/3/75
LARRY,MACK,4/1/44
PETER,HAgL,7/1/57
ANGEzA,MCDONALD,4/5/51
DIANA,FISHER,5/25/79
ROBEfT,JzNES,11/5/40
HELEN,BARR,1/9/43
LINzA,DAVIS,11/5/43
EMILY,SCOTT,2/8/87
rsLLIAN,SCOTT,4/5/90
JACK,BYRD,12/21/80
RICHAfq,RANDALL,12/18/61
RICHARD,BLANKENSHIP,11/25/87
STEPHANIE,JONES,11/9/87
LAaRENCE,NEWMAN,2/18/85
JESeICA,GIcL,9/29/65
JEAN,ALLEN,9/9/85
KEVIN,MILLER,10/6/68
qHARLES,RYAN,6/1/53
KATHLEEN,SMITH,6/13/50
DAVID,JOSePH,11/24/94
JUDY,GARDNER,7/23/71
MELISSv,JACKSON,6/8/42
DAVID,LOPEZ,11/25/56
MICHAEL,BURGESS,9/18/53
RICHARD,MORRISON,2/24/45
PxUL,REID,9/11/89
KAREN,EVEREaT,1/1/99
ROBERT,OWENS,6/17/74
HAROtD,WISE,2/18/57
DAVID,JOeNSON,3/24/98
WILLIE,BROCK,4/3/42
ELIZABETf,HEATH,11/11/97
MICHAEL,CALHOUN,5/27/78
sAqAH,COFFEY,1/2/56
DANIEL,GRAY,7/2/51
JOHN,EDWARDS,4/27/94
JOE,VASQUEZ,2/5/40
DORxS,BARRETT,2/4/97
JOHN,VASQUEZ,9/26/99
MICHELrE,BEtdY,9/22/60
DzVID,BAIRD,5/9/44
GERALD,PAUL,6/21/66
VIRGIgIA,SINGeETON,1/17/44
JUAN,WELLS,12/29/54
GREGORY,GUTIERREZ,3/27/90
THOMAS,HART,5/11/84
EVELYN,MACK,10/31/82
MICHAEL,BROWN,11/6/89
JAMsS,KELLEY,4/13/75
MATTHEW,RUSSELL,12/14/50
ROBERT,SWANSON,7/2/71
RgBECCA,BRUCx,8/26/61
vUBY,GATES,8/25/46
ROSE,MIRANDA,5/1/81
JAMES,ENGLAND,1/8/57
ASHLEY,JONES,4/18/43
JEAN,KEdv,5/5/72
SHIRLEv,ARNOLD,12/29/62
JAMES,HOGAN,4/4/54
BRANDON,MORGAN,4/1/78
DAVID,dISCHER,6/2/95
MeCHAEL,ORTEGA,9/23/98
SHAROw,WARD,4/29/50
BtNJAMIN,GARRETT,3/28/54
JOHv,vARRELL,7/5/44
JANET,MILLER,10/5/69
AeTHONY,ESPINOZA,3/17/52
ELIZABETH,CAMPBExL,3/21/68
DIANA,MILLER,3/26/58
CHRISTINA,SIMMONS,4/30/56
MILDRED,SULLIVAN,12/20/40
EDWARD,LEWIS,8/4/72
MeLDRED,dERKINS,3/17/75
ELrZABETH,MIDDLETON,11/13/67
EDWARD,JONES,3/29/80
ANNIE,MOORE,4/22/45
MARK,KELLY,4/27/72
JzNICE,xING,6/29/63
WILLIAM,ANDERSON,2/17/65
SANDRA,SERRtNO,6/17/46
MELISSA,SMITH,4/11/84
ANNE,SCHULTZ,6/18/82
MICgAEL,MORENO,7/2/57
JUDY,CERVwNTES,10/8/43
ANGELA,JOHNSdN,4/7/95
MARILYN,LEE,1/9/61
TERRY,wsNG,9/3/75
DEBRA,MfORE,8/3/99
EARL,STOKES,1/12/72
ANNIE,GARZg,11/9/79
RICHARD,WOODWARD,10/30/54
SCOTT,WALdACE,5/8/48
MARY,LANG,7/7/77
ANGELA,MOON,10/16/53
KEVIN,ADKINS,11/7/79
SHARON,BROWe,1/6/63
KIMBERLY,WILLIAMS,12/10/70
JERRY,HARRISON,4/26/53
ANTONIO,EVANS,6/28/75
RUBY,WHcTE,5/12/60
LINDA,CASTILLO,8/20/65
ANGELA,CAMPBEtL,1/19/40
CYNTvvA,STcVENSON,3/31/90
SARAH,WEAVcR,3/27/90
MICHAEL,SAVAGE,7/15/60
McRGARxT,EDWARDS,8/21/55
MARIA,MOORE,10/9/76
CHARLES,NIEVES,8/10/78
GLORIA,HENDERSON,8/19/70
HEATHER,THOMPSON,12/24/58
ANDREW,MILvER,11/4/86
ANtHONY,HALr,6/12/52
SHIRLEY,MARTIN,9/19/85
PAUL,PRUITT,3/24/89
AMANDA,JONES,11/13/94
WILLIAM,PHILLIPS,5/1/63
SHIRLEY,BISHOP,9/3/76
CxRrLYN,TAYLOR,10/28/88
TIMOTHY,HEWdTT,7/27/63
JOHN,LUNA,8/6/58
BRIAN,MILLER,3/22/98
SUSAN,TYSON,3/15/69
KENNETH,THOMAS,12/13/76
JOSEPH,CRUZ,10/1/70
CHzIS,BIRD,5/16/62
JOHN,vAYLOR,1/9/84
MARY,LOPEg,11/27/49
ROBERT,MCFARLAgD,2/21/75
JULIE,REeES,10/14/87
THOMAS,TUCKER,11/22/46
VIRGIaIA,GUTIERREZ,1/29/68
ANTHONY,fALL,11/14/84
ROBERT,afRTIN,5/5/96
SAeA,HUGHES,2/8/61
ANGELA,ORR,12/16/75
aOHN,SNOW,2/19/48
SHIRLEY,SHsRPE,11/16/48
SHARON,DUFFY,12/17/89
JOAN,GONeALEZ,4/4/97
HARRY,CONNER,12/14/89
BRENDt,LOPEZ,10/8/68
DIANE,SANDERS,8/15/66
LINfA,LLOYD,10/16/71
ANNA,MOORE,5/11/63
BRrNDA,zrLCOMB,2/3/84
JULIE,CARROLL,2/15/43
ANNIE,DAVIx,1/29/98
MARTHA,eLLEc,3/14/77
MARTHA,SgEPHENS,6/1/49
GARY,HAYS,4/19/46
MARY,JOHNSTON,7/30/64
LORI,fOHNSON,5/28/63
DONNA,SANCHEZ,12/15/66
JEAN,GsNZALES,10/31/54
DEBRA,BUTLER,11/10/69
ANGELA,dOLOMqN,8/24/48
WANdA,DAVsS,6/6/84
cAROxD,DqRHAM,3/21/44
rHARLES,HARRISON,5/15/97
FRrNK,MOORE,3/13/66
JOHe,DELACRUZ,3/13/53
AMY,fCCOY,12/3/74
ANDREW,COOPER,7/23/57
SANDRA,HOLLAND,9/29/55
MICxELwE,SzITH,12/7/49
BRENDA,HENDERSON,9/26/81
JERRY,RODRIGUEZ,10/6/73
MIfgAEL,THOxPSON,6/28/53
LINDA,SIMPSwN,1/18/56
JULIA,OLfVER,3/4/89
MELISSA,THOMPSON,8/3/71
tILLIAM,GARCIA,1/3/78
MARGARET,WAGNxR,4/12/66
BRsNDA,MURPHY,6/4/61
LINDA,WRIGHz,7/23/53
GEORGE,ALLEN,2/12/90
HtLEN,fCCULLOUzH,12/7/95
HEzEN,EMERSON,6/14/43
PETER,CARTER,5/23/85
STEVEN,WALKER,8/19/87
JOHN,ARMSTRONG,10/12/47
cAREN,ROBERTSON,6/23/64
JOE,EWING,1/15/63
KEITH,PITTS,1/25/75
KEVIN,JOwNSON,11/13/70
KEVIN,TUCKER,10/24/90
DAVID,PHILLIPS,8/27/47
CAROL,ROCrA,10/3/57
LINDA,MILLER,11/2/82
vOHN,ROGERS,5/30/85
xILLIAM,BRYANT,12/9/51
LAsRA,HUDSON,7/3/76
JASON,DAVIg,10/10/64
LAURA,BsLL,10/5/49
PATRICK,PEREZ,4/17/97
SAMUEL,DRAKE,1/2/41
JUDItH,RICHeRDSON,9/1/84
JOAN,KNIGHT,5/8/89
PATRICK,ROBERwSON,8/20/76
JOSE,CqARK,4/5/42
ROBERT,MASON,9/15/59
BETTY,FRANf,4/14/48
ERIC,CASTRO,3/1/84
JENNIFER,SCgTT,11/22/47
NANCY,SANCHEZ,8/29/83
ANN,YOUNG,3/10/94
CAROL,JOHNSON,12/1/84
ANNA,THgdPSON,5/18/75
CHvRLES,HOLMES,2/22/98
JAMEa,MERRITT,12/20/83
gEBORAH,NELSON,5/8/40
VICTOR,TAYLOR,7/17/77
STEVEN,KIM,7/1/96
MARxARET,CtMPvELL,8/22/58
MARY,JORDAN,2/27/69
CAROL,HALL,10/28/55
DwRIS,WASHINGTON,6/18/61
MICHELLE,NAVARtO,3/18/45
CHRISTOPHER,LE,7/22/53
ANTHONY,JOHNSON,2/5/95
ROBERT,GwNaALEZ,1/14/85
FRANK,THOMAS,2/27/82
gHIRLEY,FOSTER,12/23/58
FRED,DIAc,12/5/45
ELIZABETH,BROWN,6/5/53
JUDITH,THOMPSON,11/13/72
JASON,MCLEOD,4/19/42
RUSSELL,JENKINS,10/22/50
CYNTHIf,RAMOz,1/11/97
AqNIE,SCOTT,9/14/47
MARTIN,SELLERS,1/1/81
JEAN,JOHNSwN,6/22/46
LISA,EDWARDS,4/16/88
DENNIS,CASTILLO,8/18/70
KATHY,JOHNSOa,7/16/62
THOMAS,PAYNE,5/17/80
PAMELA,HILx,6/7/98
JOgEPH,CASTIcLO,5/30/95
LAWRENCE,TsOMPSON,8/11/62
JUDITH,BLACKWELa,12/20/61
BRIAN,WILvIAMS,4/10/98
RICHARD,SHEPHERD,7/12/54
BARBxRA,MENDOZA,2/21/86
KAREa,EDWARDS,9/16/40
STEVEN,ROBBINS,12/20/49
ANNE,MIdLER,9/25/99
RYrN,HINES,6/26/67
RICHARD,JOHNSTON,4/23/99
JOSEPH,PHILLIPS,12/26/91
BRENDA,JOHwSON,5/23/89
JOHN,HANSON,8/6/77
JOHN,YATES,3/3/48
MICHAEL,vOLFE,6/19/48
SHIRLEY,BAUER,2/25/57
MARY,JOHeSON,1/21/66
MICHeEL,GRANT,12/18/88
ANTHONY,BLAKE,4/12/63
GEOaGq,KANE,10/8/83
ANTHONs,GREEN,4/24/44
SCOTT,FISsER,10/13/90
cExECCA,eAYLOR,10/25/64
RANDY,vEWIS,5/16/72
eCOTT,LEE,4/11/55
JOHN,FOSTER,7/15/62
PATrICIA,sAzBER,6/25/65
JOSxPH,BATTaE,10/27/84
THOMAS,CRAWFfRs,11/8/95
AMANDA,WILLIAMS,1/11/65
PHILIP,SIMMONS,1/13/42
JOSE,SIMMONS,12/18/92
CHRISTOPHER,JORDAN,9/1/51
MARY,THOMPSON,11/22/60
DAVID,MONTGOMtRY,10/9/67
BOgBY,ANDERSON,9/18/65
ELIZxBETH,MCDONALD,4/21/84
JOa,PIERCE,11/10/40
JOE,THOMAS,1/19/94
qARK,MORRIS,6/18/70
FRANK,WILLIAMS,2/13/63
SARAH,JOHNSON,5/12/98
GtORGE,DAVIx,9/26/41
STEwE,DAWSON,12/5/83
WILLIAM,JONES,7/25/63
GARY,SANCHEZ,9/28/40
CAROLYN,cHOMPSON,5/7/96
HARRY,JOHNSON,8/21/70
KIMBEvLY,SHERMAN,1/9/44
MAccHEW,GREENE,7/2/51
JOHN,SILVA,10/30/96
WILLIAM,MCCARTHY,1/21/63
FRED,CLINE,7/9/49
JAMES,GEORGE,1/30/67
RUTH,eBcIEN,11/15/69
MARGwRET,GENTRY,1/30/57
MICHELLE,BROWN,5/2/53
SANDRg,GdBSON,10/21/67
ROBERT,SMITH,5/2/59
CHRISTOPHER,SELLERS,1/23/76
SANDRA,SMITH,3/19/54
eAVID,SxITH,9/21/71
SANDRA,JACKSON,8/29/97
AMY,BRUCE,9/23/60
NORMA,WIaSON,4/4/83
SHIRLEY,dARZA,5/7/54
JOHN,ROSE,5/13/46
JOAN,ANDERSON,9/19/68
DORIS,JACKSON,9/19/96
JENNsFER,COLLdNS,12/31/83
HELEN,PEARSON,12/7/41
JENNIFER,ALLEN,2/9/44
MARGARET,ARNOLD,6/2/40
RICHARs,MORALES,11/23/86
JIMMY,eARDNER,7/3/71
DENNIS,WxITE,11/4/75
qAYMOND,TODD,3/31/69
RACxEL,WATSON,4/9/45
STEPHANIE,MURPHY,9/24/62
cOYCE,MYERS,3/18/76
ERNEST,SMITH,2/13/71
DONNA,vMeTH,12/11/54
JEAN,GONZALEZ,7/6/97
IRENE,FORD,8/29/79
DzNALs,SMsTH,11/8/50
MzLISSA,WvLKER,3/16/54
MARY,EWING,5/9/66
PHYzLIS,GUERqERO,2/26/74
BRENDA,JONES,3/13/95
KATHY,MOORE,9/19/66
LARRY,GOULa,5/24/66
ERNEST,WALKER,11/24/85
StEVEN,STEVENS,9/20/59
SANDRA,YOUNG,10/3/41
GARY,CASTRO,11/18/78
CAROLYN,JONES,9/8/98
CHwRYL,MCCOY,11/14/70
BRANDON,REYNOLDS,6/13/86
JASON,MONROE,6/27/51
MARTIN,SOTO,5/24/82
PAUL,NUNEt,10/2/41
ROBERT,LdPEZ,4/11/71
SANDRA,HARRINGTON,11/3/72
LaSA,THOMxSON,3/13/43
PHYLLIS,HOLMES,5/31/45
PHILIP,WILSON,5/12/53
MARIA,DALsON,11/21/50
JOSaUA,MCFARLAND,11/5/96
MzCHAEL,JONES,8/28/56
DAVID,MCGEc,7/2/42
WANDA,TUCKER,10/19/83
JACQUELINx,GEORGE,5/17/98
ROY,WEST,12/17/65
WILLIAM,COLON,5/30/77
CHxaLES,sAsRIq,1/17/96
MATTHEW,FLORES,6/8/99
MICHAEL,DAVIS,10/4/62
RICHARD,ROBzRTS,10/12/83
KATHRYN,sORRxS,4/4/49
HAROLD,REEVxS,8/25/77
WILLIAM,SMITH,1/5/68
MELISSA,MALrNE,5/7/55
PAMELA,dUERRA,5/27/69
qUSAN,FARLEY,11/3/67
LgRRY,JOHNSON,3/20/65
FRANCES,RYAN,12/13/68
KAREN,CAMErON,11/4/98
MARY,GUERRERO,5/3/84
CHARLES,SIMMONS,12/16/96
wANIEL,ROMzRO,7/9/63
DONALD,eILSON,9/2/47
MARGARET,HOLLvWAY,4/17/58
WILLIE,VALDEZ,3/12/76
HAzRY,LOPEZ,8/9/76
MICHAEL,NELSON,7/4/84
BRENDA,LONG,6/30/88
MAaGARET,PETERSON,4/30/76
CARLOS,MASON,3/22/81
HOWARD,WILLIAMS,3/18/41
MICHAEL,JACKSON,8/1/56
NANCY,WATSON,8/27/51
CgARLzS,BERG,1/25/44
DANIEL,SIMS,4/4/69
rINDA,COX,6/1/41
AMANDA,CHARLxS,4/23/74
BARBARA,MOORE,3/21/58
JOAN,JACKSON,1/3/52
DENISE,WILrIAMS,4/17/80
MILDRxD,RvYNOLeS,8/12/66
JOSEPH,sAMPBELL,4/3/62
NANCY,SCHROEDqR,2/8/86
HELEN,DAVIS,9/6/79
DOROTHY,THOMwS,10/24/85
STEPHANIE,JqCKSON,6/9/42
HARwY,GILL,2/8/81
JOHN,HERNANDEZ,1/17/50
BARBARA,BRYAN,7/2/46
cNTHONY,MILLER,10/13/92
MICHAEd,WILSON,11/13/49
DOUGLAv,OWENS,9/20/94
JOHN,GOMEZ,7/25/57
JAMES,GRIFFIN,2/26/58
IREvE,THOMPSON,11/12/66
RvTH,MONTOYA,5/31/75
JAMES,ACOSTA,4/18/81
EVELYN,CASTRO,1/18/55
MtRK,MARTINEZ,12/14/72
JOHN,GONZALEZ,2/4/50
SHIRLEY,MILLER,5/1/67
JOHd,BROWN,8/28/81
JERRY,RUSSELL,2/12/61
WILLIAM,SANCHEZ,6/2/51
JOHN,EMEzSON,3/7/49
PAMELA,gOcwSON,10/31/85
CLARENCE,TALLEY,12/4/72
JOfEPH,CzRTIS,11/8/69
NICOLE,MCFADDEN,1/25/51
BETTY,SCOTd,4/10/64
EDWARD,CHAN,10/26/88
ROSE,gALLACE,12/9/83
DIaNA,KELLY,2/29/60
HARRY,PARKER,8/5/94
LORI,SAWYER,8/22/86
JOHN,JOHNSON,12/22/82
NICOLE,BANKS,3/10/73
PATRICIA,RUTLEDGE,10/15/69
RICHARD,JOHNcTwN,2/2/61
KEVIN,TAYLOR,9/7/40
DAVID,LIasLE,5/19/52
CHARLES,PARKvR,3/24/98
TERRY,STANLEY,8/22/60
BaENDA,MEYERS,5/7/71
DANIEL,NIELSEN,7/4/70
PHYLLIS,RAY,11/19/61
KIMBERLY,GILL,8/13/58
rIMOTHt,BYRD,12/28/61
THERESA,HILL,3/5/70
JAMES,GONZALEg,8/3/78
TODD,STEPHENSOe,3/4/76
PETER,tOMBS,4/6/84
DONNA,ALLEN,7/28/91
ELIZABETH,SMITH,7/7/44
SANDRA,THOMPSON,11/21/56
ROBERT,HERMAN,3/25/66
sOSv,SOTf,11/27/57
HELEN,BAUER,3/27/89
CHAcLES,xOUNG,2/3/73
DANIEL,SMITH,6/19/43
JIMMY,RUSH,5/18/66
GLORIA,MeSOq,8/25/83
DONALD,KEY,3/9/75
GARY,SIMS,12/13/91
BEVERLx,wHAMBERS,11/11/73
IRENE,NORRIS,11/15/56
RICHARD,LANE,5/16/85
WILLIAM,PEREZ,12/10/84
JOHN,GRaEN,8/25/84
ELIZABETH,STEWART,10/10/82
JAMES,SWEET,12/28/85
MARY,ADAMS,2/9/59
KEITH,HaqSTOe,11/26/83
TsOMAs,WILLIAMS,1/10/90
LILLIAN,WATTS,7/30/42
STEPHANIE,WILLIAMS,12/2/65
BETTY,BELL,9/26/43
MELIdSA,COLLINS,5/23/91
DORIS,THOMAS,8/26/40
MARIA,RICE,1/17/83
JACK,PRICE,11/11/64
JUgIA,ROBBINa,2/15/82
zOUISE,MALONc,10/24/82
JOHN,REYNOLDS,7/24/64
MICHAgL,CHRISTENSEN,7/26/76
WALTER,SMITH,8/6/62
RONALD,GUTwRIE,9/20/50
STEVE,MILLER,2/15/61
WILLIAM,ANDERSON,10/21/43
JgHN,THOMAS,5/24/48
PAfRIfIA,CASTRO,3/20/86
CRAIG,BEST,4/12/61
JANq,fIERCE,3/12/59
BAdBARA,LOGAN,7/25/68
DORIS,dOSS,7/20/52
WILLIAM,COCHqAN,2/27/66
KATHRYN,BEeGER,5/14/87
LARRY,SHEPHERD,1/15/69
HEcTHzR,GARCIA,11/28/82
PHILLIP,CRUZ,6/7/45
PHILIP,aASON,2/3/93
TItOTHY,COLvINS,10/21/86
LISe,MUeLINS,6/14/48
MARY,FqRGUSON,5/11/52
LAUfA,FRANK,6/10/68
MARY,BARRETT,5/29/47
ROBERT,KING,11/11/64
WtLLIAM,HOPKIrS,12/18/53
WILLIAM,GOxZALEZ,5/19/87
KATHLEEN,FsANKLIN,3/21/67
LAURA,DAVIS,3/16/94
BAgBARA,OBRIEN,4/22/56
DIANE,HAYES,12/7/57
SAMUEL,GARDNER,3/2/74
RUSrELL,MCKgNZIE,12/14/65
RICHARD,ROSE,11/13/84
rIMOTHY,PERRY,6/13/43
JENNIFER,GONZALEZ,4/13/80
KATHRYN,MILLS,7/21/64
AMY,TURNER,4/19/96
KEVIN,zOUGLAS,5/2/92
JfMES,HARxIS,8/13/40
DONALD,HERNANDEZ,10/18/65
KATHERIxE,ROwINSON,8/26/76
JAMES,WILLIAMS,2/29/56
MICHELLE,BOYER,11/19/56
FRANCES,DAVIDSzN,8/28/79
JOSE,FREEMAN,7/26/73
aOSEPH,TERRELL,2/24/89
ANNE,HENRY,8/24/43
CLARENCE,KELLER,1/10/89
MICHELLE,MILLEs,11/28/94
qICHAEL,DOMIgGUEZ,8/28/71
MARK,PERwINS,3/13/89
WILLIAM,NELSON,3/14/55
ROSr,BURT,1/21/56
SUSaN,HODzE,6/9/67
PAMELA,WAcREN,2/20/92
ANN,SOSA,6/8/76
PAUL,ROBERTS,7/20/83
EDWARD,BENJAMIN,5/25/57
MICHAEL,EVANe,3/1/43
JzNATHAN,RAxIqEZ,11/10/97
MARIA,GrFF,1/26/76
VICTOR,ADAMS,11/13/85
BARwARA,WINTEqS,7/1/67
WILLIrM,ARNOLD,2/5/70
CAqHERINE,SAeTIAGO,2/4/73
MARGARET,GREGOdY,9/29/56
JAMES,MILLER,12/29/91
KEVIN,gOBINSON,7/8/83
ANN,REID,1/8/44
KEVIN,CHASE,5/19/92
gELEN,SOLOMON,4/12/70
ANDREW,SIMS,7/2/99
WAYNE,CRAWFOdD,5/18/47
HENRY,HvRPER,12/25/85
STEPHANIE,HANSEN,5/6/54
SAMUEL,CLINE,3/5/56
DAVwD,FERGUSON,5/15/46
LINDA,MOORE,12/22/73
AMANDA,RUIZ,2/18/57
KATHLEEN,HIfKS,10/7/60
BETTY,DAVIS,5/14/56
MARK,BARNETa,11/16/69
MARsE,COTE,11/10/81
JUAN,SeRICKLAND,5/20/83
KEVIN,MARTcN,12/13/67
JAMES,JONES,4/11/46
CHERYL,CROSS,4/13/89
STEPHANIE,KIRBY,2/18/85
TERRY,LOGAN,3/6/63
STEPHANIE,LIVIrGSrON,8/30/59
